topic,n,mean,median,std
71,35,0.07984772856511024,0.05263157894736842,0.10972488532345795
85,30,0.07962102969842907,0.05263157894736842,0.10032931510869628
8,179,0.07819222276475334,0.05263157894736842,0.08219798993251222
124,16,0.07810887512899897,0.05263157894736842,0.07074315114684077
87,28,0.07802901862499385,0.05263157894736842,0.09483089437455863
9,172,0.07682709966891693,0.05263157894736842,0.09229833452573323
98,22,0.0762501172717891,0.05263157894736842,0.0821607866026876
48,54,0.07536406375415663,0.05263157894736842,0.06721997313294206
119,16,0.07533002235982111,0.05263157894736842,0.07818052020010482
40,65,0.07387208594638935,0.05263157894736842,0.06665531916861618
72,35,0.07298393041427098,0.05263157894736842,0.07018113241905928
-1,5737,0.07201298843474369,0.05263157894736842,0.08800880762258947
115,18,0.07164698237969652,0.05263157894736842,0.06279265538101222
15,114,0.07028406930639292,0.05263157894736842,0.07536130963824632
5,220,0.07002393461371789,0.05263157894736842,0.07113035887274849
7,181,0.06935365985106846,0.05263157894736842,0.08125535080561319
54,48,0.06858624297672285,0.05263157894736842,0.070695467843586
17,104,0.06780301526818554,0.05263157894736842,0.07152044925890122
22,93,0.06712001910743547,0.05263157894736842,0.09095162254330669
37,71,0.06601840143025335,0.05263157894736842,0.09361299284545825
19,102,0.0646149928839785,0.05263157894736842,0.06528962697314579
122,16,0.06421998624011008,0.05263157894736842,0.07393969585542083
113,18,0.06008007491495623,0.05263157894736842,0.07240890412393808
18,104,0.0587238269126814,0.05263157894736842,0.08270393243120085
38,71,0.0585897566340596,0.05263157894736842,0.06394412602718905
10,171,0.05577583449507842,0.05263157894736842,0.062364405076485496
34,77,0.05364235008197857,0.05263157894736842,0.0668809114391719
46,56,0.05333185905941324,0.05263157894736842,0.05448887048336514
100,22,0.053303937204865995,0.05263157894736842,0.06085455514001888
95,22,0.05209994683678894,0.05263157894736842,0.07564563712885175
108,19,0.052070320279543024,0.05263157894736842,0.05185456127621399
73,34,0.051505999716708155,0.05263157894736842,0.0663385991121587
59,43,0.048341613267093866,0.05263157894736842,0.0627103241998419
68,37,0.04528677284095241,0.0,0.058536062946350186
103,20,0.04391124871001032,0.05263157894736842,0.050786204094974474
126,16,0.04349415204678363,0.05263157894736842,0.03592051015861673
32,80,0.03387082903336773,0.0,0.04210104458140992
74,34,0.01874785001719986,0.0,0.02917872102841494
116,18,0.017868745938921377,0.0,0.03224789455651971
75,33,0.014531277689172424,0.0,0.02782088115155282
