node_id,jaccard
n13674,0.0
n10406,0.25
n21635,0.05263157894736842
n19180,0.42857142857142855
n16202,0.3333333333333333
n2706,0.17647058823529413
n18984,0.17647058823529413
n17725,0.0
n20631,0.0
n21185,0.25
n15074,0.1111111111111111
n254,0.42857142857142855
n8398,0.1111111111111111
n3766,0.0
n9048,0.05263157894736842
n6753,0.25
n4156,0.05263157894736842
n2725,0.25
n10822,0.0
n16339,0.05263157894736842
n2870,0.0
n16480,0.05263157894736842
n11057,0.3333333333333333
n7337,0.1111111111111111
n8593,0.1111111111111111
n21339,0.42857142857142855
n22144,0.1111111111111111
n219,0.1111111111111111
n7006,0.3333333333333333
n7257,0.0
n7629,0.25
n14143,0.0
n17921,0.25
n14586,0.17647058823529413
n7174,0.17647058823529413
n2434,0.17647058823529413
n13747,0.0
n5318,0.25
n15523,0.17647058823529413
n7554,0.0
n4523,0.05263157894736842
n4990,0.17647058823529413
n9492,0.1111111111111111
n10039,0.5384615384615384
n21183,0.05263157894736842
n4425,0.0
n1770,0.05263157894736842
n5476,0.05263157894736842
n2438,0.17647058823529413
n13203,0.05263157894736842
n17127,0.1111111111111111
n11766,0.05263157894736842
n3199,0.17647058823529413
n676,0.1111111111111111
n8445,0.05263157894736842
n13771,0.17647058823529413
n20791,0.05263157894736842
n18027,0.17647058823529413
n22386,0.1111111111111111
n5151,0.05263157894736842
n10914,0.05263157894736842
n21509,0.0
n3724,0.05263157894736842
n10294,0.05263157894736842
n2602,0.05263157894736842
n10119,0.0
n14147,0.0
n17001,0.05263157894736842
n11971,0.1111111111111111
n16483,0.0
n6064,0.1111111111111111
n20827,0.25
n21062,0.1111111111111111
n7621,0.05263157894736842
n9052,0.0
n10429,0.0
n11489,0.05263157894736842
n11951,0.17647058823529413
n13256,0.1111111111111111
n1415,0.1111111111111111
n20527,0.25
n4516,0.17647058823529413
n21079,0.1111111111111111
n3279,0.05263157894736842
n9345,0.0
n15494,0.0
n700,0.05263157894736842
n14522,0.3333333333333333
n21683,0.05263157894736842
n12803,0.05263157894736842
n10408,0.1111111111111111
n16622,0.0
n7645,0.1111111111111111
n18133,0.0
n22484,0.1111111111111111
n1776,0.1111111111111111
n2424,0.17647058823529413
n7904,0.1111111111111111
n12270,0.05263157894736842
n6578,0.05263157894736842
n625,0.0
n18655,0.05263157894736842
n11311,0.25
n17839,0.25
n22426,0.1111111111111111
n13579,0.0
n14466,0.0
n18359,0.1111111111111111
n2069,0.17647058823529413
n8387,0.3333333333333333
n258,0.05263157894736842
n3941,0.1111111111111111
n6645,0.05263157894736842
n9046,0.0
n15346,0.25
n22051,0.17647058823529413
n15918,0.17647058823529413
n19618,0.05263157894736842
n18161,0.25
n6809,0.1111111111111111
n5088,0.0
n8438,0.05263157894736842
n11030,0.17647058823529413
n19902,0.05263157894736842
n1870,0.05263157894736842
n14795,0.42857142857142855
n1671,0.3333333333333333
n20595,0.05263157894736842
n4893,0.05263157894736842
n5949,0.25
n22964,0.0
n1318,0.1111111111111111
n53,0.42857142857142855
n18658,0.05263157894736842
n1829,0.0
n13226,0.17647058823529413
n2972,0.05263157894736842
n3098,0.25
n12277,0.05263157894736842
n8044,0.1111111111111111
n3677,0.25
n19628,0.0
n15588,0.1111111111111111
n5808,0.05263157894736842
n7805,0.17647058823529413
n11140,0.0
n848,0.1111111111111111
n4622,0.3333333333333333
n3102,0.1111111111111111
n18269,0.0
n14055,0.17647058823529413
n14654,0.05263157894736842
n1803,0.17647058823529413
n18042,0.05263157894736842
n6256,0.1111111111111111
n8515,0.0
n20834,0.05263157894736842
n17989,0.05263157894736842
n17350,0.1111111111111111
n13553,0.1111111111111111
n15726,0.05263157894736842
n18678,0.05263157894736842
n9532,0.17647058823529413
n5805,0.17647058823529413
n1390,0.1111111111111111
n11240,0.25
n21728,0.25
n10374,0.0
n20062,0.0
n5662,0.1111111111111111
n11883,0.0
n12029,0.05263157894736842
n18172,0.25
n9231,0.0
n4379,0.1111111111111111
n10221,0.25
n1411,0.17647058823529413
n5175,0.17647058823529413
n9671,0.3333333333333333
n20339,0.17647058823529413
n15351,0.05263157894736842
n3395,0.0
n7158,0.0
n14226,0.1111111111111111
n3860,0.17647058823529413
n21429,0.05263157894736842
n20372,0.0
n19045,0.3333333333333333
n6243,0.05263157894736842
n9235,0.05263157894736842
n596,0.17647058823529413
n1645,0.0
n2880,0.1111111111111111
n2746,0.0
n475,0.1111111111111111
n21364,0.17647058823529413
n21749,0.1111111111111111
n3409,0.05263157894736842
n13001,0.1111111111111111
n1676,0.17647058823529413
n19969,0.3333333333333333
n316,0.0
n10756,0.05263157894736842
n9645,0.17647058823529413
n8973,0.0
n1638,0.42857142857142855
n22821,0.17647058823529413
n7623,0.0
n14230,0.1111111111111111
n14766,0.1111111111111111
n7366,0.17647058823529413
n10104,0.05263157894736842
n19845,0.17647058823529413
n11054,0.05263157894736842
n21813,0.0
n1370,0.0
n1270,0.0
n4033,0.0
n22354,0.0
n16560,0.17647058823529413
n13618,0.05263157894736842
n12644,0.1111111111111111
n12361,0.05263157894736842
n2207,0.05263157894736842
n9782,0.3333333333333333
n20198,0.17647058823529413
n3027,0.25
n17625,0.3333333333333333
n15470,0.1111111111111111
n17113,0.0
n9723,0.42857142857142855
n18038,0.17647058823529413
n18407,0.17647058823529413
n10064,0.05263157894736842
n18902,0.17647058823529413
n20820,0.1111111111111111
n18259,0.42857142857142855
n18936,0.05263157894736842
n21785,0.0
n22066,0.25
n6452,0.05263157894736842
n14821,0.25
n3268,0.17647058823529413
n3484,0.0
n11973,0.05263157894736842
n14783,0.1111111111111111
n21760,0.1111111111111111
n666,0.0
n2913,0.3333333333333333
n15336,0.25
n14703,0.0
n1891,0.05263157894736842
n15758,0.17647058823529413
n3269,0.0
n18963,0.05263157894736842
n6609,0.25
n16164,0.17647058823529413
n19390,0.0
n20320,0.17647058823529413
n6976,0.17647058823529413
n3428,0.05263157894736842
n1355,0.05263157894736842
n5142,0.1111111111111111
n6518,0.0
n1667,0.25
n13103,0.05263157894736842
n4140,0.3333333333333333
n13644,0.3333333333333333
n7468,0.5384615384615384
n15344,0.17647058823529413
n17253,0.1111111111111111
n16264,0.17647058823529413
n20268,0.1111111111111111
n1690,0.25
n5389,0.05263157894736842
n17900,0.05263157894736842
n16226,0.17647058823529413
n235,0.25
n5560,0.05263157894736842
n16722,0.05263157894736842
n17753,0.05263157894736842
n7804,0.0
n18615,0.05263157894736842
n4967,0.1111111111111111
n6359,0.1111111111111111
n6865,0.1111111111111111
n966,0.17647058823529413
n18113,0.05263157894736842
n21617,0.05263157894736842
n4063,0.05263157894736842
n7037,0.1111111111111111
n21487,0.17647058823529413
n8999,0.0
n9117,0.25
n13519,0.1111111111111111
n2606,0.25
n21086,0.0
n6996,0.1111111111111111
n10453,0.0
n8382,0.25
n7775,0.05263157894736842
n22234,0.3333333333333333
n13714,0.1111111111111111
n2792,0.05263157894736842
n15614,0.05263157894736842
n22330,0.05263157894736842
n3622,0.05263157894736842
n18634,0.1111111111111111
n5024,0.17647058823529413
n11692,0.05263157894736842
n15527,0.05263157894736842
n11936,0.05263157894736842
n6983,0.05263157894736842
n17101,0.17647058823529413
n6483,0.05263157894736842
n9887,0.05263157894736842
n20395,0.0
n19065,0.17647058823529413
n18689,0.05263157894736842
n3681,0.42857142857142855
n1916,0.0
n1229,0.1111111111111111
n12759,0.17647058823529413
n7260,0.1111111111111111
n772,0.0
n13734,0.0
n9037,0.1111111111111111
n16900,0.05263157894736842
n17978,0.0
n10154,0.05263157894736842
n9693,0.3333333333333333
n13466,0.0
n9447,0.3333333333333333
n5282,0.1111111111111111
n7712,0.0
n10257,0.0
n8395,0.42857142857142855
n16221,0.05263157894736842
n18975,0.0
n1573,0.0
n7087,0.0
n7850,0.05263157894736842
n5409,0.3333333333333333
n8983,0.25
n3112,0.0
n14302,0.1111111111111111
n21278,0.1111111111111111
n5861,0.0
n11362,0.05263157894736842
n14892,0.0
n12432,0.05263157894736842
n4232,0.1111111111111111
n2153,0.05263157894736842
n18174,0.1111111111111111
n3926,0.05263157894736842
n17525,0.05263157894736842
n16189,0.1111111111111111
n15674,0.1111111111111111
n1581,0.17647058823529413
n8285,0.25
n2073,0.0
n16119,0.25
n5406,0.1111111111111111
n3056,0.05263157894736842
n16213,0.1111111111111111
n4753,0.1111111111111111
n4528,0.0
n12235,0.17647058823529413
n20287,0.17647058823529413
n15322,0.17647058823529413
n1570,0.05263157894736842
n8571,0.25
n16837,0.3333333333333333
n10033,0.42857142857142855
n21069,0.0
n8249,0.0
n13024,0.05263157894736842
n14208,0.3333333333333333
n6015,0.17647058823529413
n8909,0.05263157894736842
n18236,0.1111111111111111
n12895,0.05263157894736842
n5211,0.0
n4257,0.05263157894736842
n19472,0.05263157894736842
n7272,0.05263157894736842
n11485,0.0
n1926,0.0
n17406,0.05263157894736842
n6669,0.3333333333333333
n4537,0.05263157894736842
n9371,0.1111111111111111
n14896,0.25
n12334,0.3333333333333333
n20427,0.05263157894736842
n1953,0.05263157894736842
n6794,0.17647058823529413
n9265,0.0
n11422,0.3333333333333333
n7894,0.17647058823529413
n22820,0.1111111111111111
n10036,0.1111111111111111
n12148,0.0
n21005,0.05263157894736842
n1142,0.05263157894736842
n14912,0.3333333333333333
n21606,0.1111111111111111
n21607,0.0
n12472,0.25
n14931,0.05263157894736842
n22915,0.0
n20690,0.17647058823529413
n16849,0.0
n17211,0.05263157894736842
n10343,0.1111111111111111
n11858,0.05263157894736842
n1468,0.0
n3021,0.3333333333333333
n22886,0.17647058823529413
n16473,0.0
n21861,0.1111111111111111
n3996,0.25
n10000,0.0
n1354,0.17647058823529413
n20223,0.17647058823529413
n20971,0.3333333333333333
n20255,0.0
n17980,0.0
n10528,0.05263157894736842
n19535,0.17647058823529413
n19588,0.17647058823529413
n9462,0.1111111111111111
n18907,0.3333333333333333
n5643,0.0
n7484,0.05263157894736842
n10673,0.17647058823529413
n18783,0.05263157894736842
n1849,0.0
n14485,0.6666666666666666
n17533,0.0
n18953,0.25
n19022,0.25
n12355,0.05263157894736842
n18033,0.17647058823529413
n20064,0.1111111111111111
n6389,0.0
